StoreName,Days Since Last Drop,Pourcast Date
"1601-61 Cross Link Rd., Raleigh, NC 27610",5,"Tuesday, 2025-09-09"
"7911 ACC Blvd., Raleigh, NC 27617",5,"Tuesday, 2025-09-09"
"100 Village Walk Dr, Holly Springs, NC 27540",4,"Wednesday, 2025-09-10"
"2109-106 Avent Ferry Rd., Raleigh, NC 27606",4,"Wednesday, 2025-09-10"
"4009 Davis Dr., Morrisville, NC 27560",4,"Wednesday, 2025-09-10"
"420 Woodburn Rd., Raleigh, NC 27605",4,"Wednesday, 2025-09-10"
"4215 The Circle at North Hills Rd, Raleigh, NC 27609",4,"Wednesday, 2025-09-10"
"665 Cary Towne Blvd., Cary, NC 27511",4,"Wednesday, 2025-09-10"
"2645 Appliance Ct., Raleigh, NC 27604",3,"Thursday, 2025-09-11"
"6301 Town Center Dr., Raleigh, NC 27614",3,"Thursday, 2025-09-11"
"1505 Banyon Pl., Wendell, NC 27571",2,"Friday, 2025-09-12"
